cod_ibge_7,uf,regiao,cod_uf,cod_municipio,nome_municipio,nome_municipio_norm,populacao_estimada_int,porte_municipio,observacao
1100015,RO,Norte,11,00015,Alta Floresta D'Oeste,alta floresta d'oeste,22787,pequeno_10k_50k,
1100023,RO,Norte,11,00023,Ariquemes,ariquemes,109170,grande_acima_100k,
1100031,RO,Norte,11,00031,Cabixi,cabixi,5664,muito_pequeno_ate_10k,
1100049,RO,Norte,11,00049,Cacoal,cacoal,98280,medio_50k_100k,
1100056,RO,Norte,11,00056,Cerejeiras,cerejeiras,16966,pequeno_10k_50k,
1100064,RO,Norte,11,00064,Colorado do Oeste,colorado do oeste,16508,pequeno_10k_50k,
1100072,RO,Norte,11,00072,Corumbiara,corumbiara,7968,muito_pequeno_ate_10k,
1100080,RO,Norte,11,00080,Costa Marques,costa marques,13510,pequeno_10k_50k,
1100098,RO,Norte,11,00098,Espigão D'Oeste,espigao d'oeste,32842,pequeno_10k_50k,
1100106,RO,Norte,11,00106,Guajará-Mirim,guajara-mirim,43594,pequeno_10k_50k,
1100114,RO,Norte,11,00114,Jaru,jaru,55682,medio_50k_100k,
1100122,RO,Norte,11,00122,Ji-Paraná,ji-parana,140101,grande_acima_100k,
1100130,RO,Norte,11,00130,Machadinho D'Oeste,machadinho d'oeste,34149,pequeno_10k_50k,
1100148,RO,Norte,11,00148,Nova Brasilândia D'Oeste,nova brasilandia d'oeste,16374,pequeno_10k_50k,
1100155,RO,Norte,11,00155,Ouro Preto do Oeste,ouro preto do oeste,38684,pequeno_10k_50k,
1100189,RO,Norte,11,00189,Pimenta Bueno,pimenta bueno,39220,pequeno_10k_50k,
1100205,RO,Norte,11,00205,Porto Velho,porto velho,517709,grande_acima_100k,
1100254,RO,Norte,11,00254,Presidente Médici,presidente medici,20443,pequeno_10k_50k,
1100262,RO,Norte,11,00262,Rio Crespo,rio crespo,3767,muito_pequeno_ate_10k,
1100288,RO,Norte,11,00288,Rolim de Moura,rolim de moura,62959,medio_50k_100k,
1100296,RO,Norte,11,00296,Santa Luzia D'Oeste,santa luzia d'oeste,7837,muito_pequeno_ate_10k,
1100304,RO,Norte,11,00304,Vilhena,vilhena,109651,grande_acima_100k,
1100320,RO,Norte,11,00320,São Miguel do Guaporé,sao miguel do guapore,22305,pequeno_10k_50k,
1100338,RO,Norte,11,00338,Nova Mamoré,nova mamore,28701,pequeno_10k_50k,
1100346,RO,Norte,11,00346,Alvorada D'Oeste,alvorada d'oeste,13720,pequeno_10k_50k,
1100379,RO,Norte,11,00379,Alto Alegre dos Parecis,alto alegre dos parecis,12237,pequeno_10k_50k,
1100403,RO,Norte,11,00403,Alto Paraíso,alto paraiso,17467,pequeno_10k_50k,
1100452,RO,Norte,11,00452,Buritis,buritis,30649,pequeno_10k_50k,
