cod_ibge_7,uf,regiao,municipio,municipio_norm,populacao_estimada,porte_municipio,ano,pessoas_total,pessoas_setor_publico,pessoas_setor_privado,prop_setor_publico_sobre_total,prop_setor_privado_sobre_total,renda_media_total,renda_media_setor_publico,renda_media_setor_privado,diferenca_renda_publico_privado_rs,diferenca_renda_publico_privado_pct,pessoas_publico_estatutario,pessoas_publico_nao_estatutario,pessoas_empresas_estatais,pessoas_trabalhador_domestico,pessoas_empregador,pessoas_conta_propria,renda_media_publico_estatutario,renda_media_publico_nao_estatutario,renda_media_empresas_estatais,renda_media_trabalhador_domestico,renda_media_empregador,renda_media_conta_propria
1100015,RO,Norte,Alta Floresta D'Oeste,alta_floresta_d_oeste,22787,pequeno_10k_50k,2022,8962,1667,3739,0.18600758759205535,0.41720598080785537,2154.81,3290.91,1573.34,1717.57,1.0916712217321112,1460,208,,450,238,2831,3478.34,1972.7,,1039.27,5218.75,2148.83
1100023,RO,Norte,Ariquemes,ariquemes,109170,grande_acima_100k,2022,45642,5925,22754,0.12981464440646773,0.4985320538100872,2569.41,4055.0,2005.54,2049.46,1.021899338831437,4787,1139,120,2094,1802,12790,4431.37,2472.73,2836.64,1111.86,5865.84,2602.48
1100031,RO,Norte,Cabixi,cabixi,5664,muito_pequeno_ate_10k,2022,2286,495,773,0.21653543307086615,0.33814523184601925,2281.93,2992.25,1794.31,1197.94,0.6676326833155921,377,118,7,81,33,894,3066.64,2754.03,7273.98,944.64,10187.29,2094.35
1100049,RO,Norte,Cacoal,cacoal,98280,medio_50k_100k,2022,39994,6052,19272,0.1513226984047607,0.4818722808421263,2781.78,4707.45,2006.61,2700.84,1.3459715639810428,4861,1191,74,2128,1994,10399,5003.18,3500.91,1584.07,969.87,6899.65,2658.22
1100056,RO,Norte,Cerejeiras,cerejeiras,16966,pequeno_10k_50k,2022,7172,1189,3169,0.1657836029001673,0.44185722253206916,2741.65,3805.64,1915.47,1890.1699999999998,0.9867917534599862,1000,189,19,354,308,2119,3618.26,4795.91,2766.05,898.56,10091.11,2599.35
1100064,RO,Norte,Colorado do Oeste,colorado_do_oeste,16508,pequeno_10k_50k,2022,7235,1570,2691,0.21700069108500344,0.37194194885970977,2753.72,4084.36,1908.15,2176.21,1.1404816183214108,1283,288,81,444,236,2207,4282.92,3199.84,2568.84,860.07,7678.36,2692.38
1100072,RO,Norte,Corumbiara,corumbiara,7968,muito_pequeno_ate_10k,2022,3320,472,1239,0.14216867469879518,0.37319277108433735,2202.29,2821.67,1974.63,847.04,0.42896137504241305,367,105,,67,43,1499,2994.52,2220.08,,757.0,8546.61,2079.96
1100080,RO,Norte,Costa Marques,costa_marques,13510,pequeno_10k_50k,2022,5119,900,1768,0.1758155889822231,0.345379957022856,2001.88,2887.51,1366.91,1520.6000000000001,1.1124360784543241,690,210,44,331,122,1913,3276.4,1610.07,1578.33,823.28,7482.55,2013.47
1100098,RO,Norte,Espigão D'Oeste,espigao_d_oeste,32842,pequeno_10k_50k,2022,13036,1558,6563,0.1195151887081927,0.5034519791347039,2389.36,3344.23,1823.76,1520.47,0.8337007062332764,1226,332,54,518,472,3846,3634.44,2272.51,2952.92,924.14,7323.39,2516.11
1100106,RO,Norte,Guajará-Mirim,guajara_mirim,43594,pequeno_10k_50k,2022,13578,2826,4511,0.20813079982324348,0.3322286050964796,2261.61,3662.41,1694.39,1968.0199999999998,1.1614917462921759,2385,440,132,698,502,4380,4016.75,1743.09,1347.43,910.75,6451.99,1468.48
