abrangencia,tipo_abrangencia,ano,sexo,cor_raca,ocupacao,codigo_ocupacao,descricao_ocupacao,nivel_ocupacao,ocupacao_norm,pessoas,rendimento_medio_reais,rendimento_mediano_reais
Brasil,Brasil,2022,Total,Total,Total,,Total,0,total,87830899,2850.64,1700.0
Brasil,Brasil,2022,Total,Branca,Total,,Total,0,total,39549035,3658.88,2000.0
Brasil,Brasil,2022,Total,Preta,Total,,Total,0,total,9991292,2061.08,1400.0
Brasil,Brasil,2022,Total,Amarela,Total,,Total,0,total,404242,5941.5,3000.0
Brasil,Brasil,2022,Total,Parda,Total,,Total,0,total,37538661,2186.26,1500.0
Brasil,Brasil,2022,Total,Indígena,Total,,Total,0,total,331155,1683.37,1212.0
Brasil,Brasil,2022,Homens,Total,Total,,Total,0,total,49668503,3115.29,1850.0
Brasil,Brasil,2022,Homens,Branca,Total,,Total,0,total,21511293,4098.2,2200.0
Brasil,Brasil,2022,Homens,Preta,Total,,Total,0,total,5918715,2217.41,1500.0
Brasil,Brasil,2022,Homens,Amarela,Total,,Total,0,total,217910,6591.78,3500.0
Brasil,Brasil,2022,Homens,Parda,Total,,Total,0,total,21810818,2367.6,1500.0
Brasil,Brasil,2022,Homens,Indígena,Total,,Total,0,total,200100,1724.09,1212.0
Brasil,Brasil,2022,Mulheres,Total,Total,,Total,0,total,38162396,2506.2,1500.0
Brasil,Brasil,2022,Mulheres,Branca,Total,,Total,0,total,18037742,3134.95,1900.0
Brasil,Brasil,2022,Mulheres,Preta,Total,,Total,0,total,4072577,1833.89,1250.0
Brasil,Brasil,2022,Mulheres,Amarela,Total,,Total,0,total,186332,5181.03,3000.0
Brasil,Brasil,2022,Mulheres,Parda,Total,,Total,0,total,15727842,1934.79,1300.0
Brasil,Brasil,2022,Mulheres,Indígena,Total,,Total,0,total,131054,1621.18,1212.0
Brasil,Brasil,2022,Total,Total,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,4082547,7723.12,4500.0
Brasil,Brasil,2022,Total,Branca,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,2627253,8763.11,5000.0
Brasil,Brasil,2022,Total,Preta,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,253269,5098.36,3000.0
Brasil,Brasil,2022,Total,Amarela,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,45010,12457.07,7000.0
Brasil,Brasil,2022,Total,Parda,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,1150164,5754.02,3300.0
Brasil,Brasil,2022,Total,Indígena,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,6049,5303.24,3000.0
Brasil,Brasil,2022,Homens,Total,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,2407488,9017.09,5000.0
Brasil,Brasil,2022,Homens,Branca,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,1548920,10296.12,5500.0
Brasil,Brasil,2022,Homens,Preta,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,150909,5777.01,3500.0
Brasil,Brasil,2022,Homens,Amarela,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,27963,12521.89,8500.0
Brasil,Brasil,2022,Homens,Parda,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,675809,6679.77,4000.0
Brasil,Brasil,2022,Homens,Indígena,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,3388,6206.57,3500.0
Brasil,Brasil,2022,Mulheres,Total,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,1675059,5863.36,3500.0
Brasil,Brasil,2022,Mulheres,Branca,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,1078332,6561.09,4000.0
Brasil,Brasil,2022,Mulheres,Preta,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,102361,4097.83,2700.0
Brasil,Brasil,2022,Mulheres,Amarela,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,17047,12350.76,5001.0
Brasil,Brasil,2022,Mulheres,Parda,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,474354,4435.1,3000.0
Brasil,Brasil,2022,Mulheres,Indígena,1 Diretores e gerentes,1,Diretores e gerentes,1,diretores_e_gerentes,2661,4153.26,2700.0
Brasil,Brasil,2022,Total,Total,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,203974,8055.81,5000.0
Brasil,Brasil,2022,Total,Branca,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,115788,9565.0,5600.0
Brasil,Brasil,2022,Total,Preta,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,14970,5995.96,4000.0
Brasil,Brasil,2022,Total,Amarela,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,1201,10781.78,10000.0
Brasil,Brasil,2022,Total,Parda,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,71223,6029.75,4000.0
Brasil,Brasil,2022,Total,Indígena,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,784,4413.14,3000.0
Brasil,Brasil,2022,Homens,Total,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,129785,9046.71,5000.0
Brasil,Brasil,2022,Homens,Branca,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,72937,10970.05,6000.0
Brasil,Brasil,2022,Homens,Preta,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,9659,6420.99,4200.0
Brasil,Brasil,2022,Homens,Amarela,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,644,11659.68,10000.0
Brasil,Brasil,2022,Homens,Parda,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,45968,6565.61,4500.0
Brasil,Brasil,2022,Homens,Indígena,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,577,4620.09,3500.0
Brasil,Brasil,2022,Mulheres,Total,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,74189,6322.35,4500.0
Brasil,Brasil,2022,Mulheres,Branca,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,42850,7173.43,5000.0
Brasil,Brasil,2022,Mulheres,Preta,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,5312,5223.05,3900.0
Brasil,Brasil,2022,Mulheres,Amarela,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,557,9766.04,8000.0
Brasil,Brasil,2022,Mulheres,Parda,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,25255,5054.39,3500.0
Brasil,Brasil,2022,Mulheres,Indígena,"1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",1.1,"Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo",2,diretores_executivos_dirigentes_da_administracao_publica_e_membros_do_poder_executivo_e_legislativo,208,3838.05,3000.0
Brasil,Brasil,2022,Total,Total,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,170067,6739.77,4900.0
Brasil,Brasil,2022,Total,Branca,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,91032,7584.63,5000.0
Brasil,Brasil,2022,Total,Preta,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,13531,5744.13,4000.0
Brasil,Brasil,2022,Total,Amarela,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,831,9970.17,9200.0
Brasil,Brasil,2022,Total,Parda,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,63925,5730.96,4000.0
Brasil,Brasil,2022,Total,Indígena,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,738,4543.3,3000.0
Brasil,Brasil,2022,Homens,Total,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,104347,7223.16,5000.0
Brasil,Brasil,2022,Homens,Branca,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,54220,8178.52,5300.0
Brasil,Brasil,2022,Homens,Preta,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,8649,6217.71,4000.0
Brasil,Brasil,2022,Homens,Amarela,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,393,9641.36,7000.0
Brasil,Brasil,2022,Homens,Parda,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,40553,6168.28,4200.0
Brasil,Brasil,2022,Homens,Indígena,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,531,4818.95,3500.0
Brasil,Brasil,2022,Mulheres,Total,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,65720,5972.28,4300.0
Brasil,Brasil,2022,Mulheres,Branca,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,36812,6709.9,5000.0
Brasil,Brasil,2022,Mulheres,Preta,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,4882,4905.17,3500.0
Brasil,Brasil,2022,Mulheres,Amarela,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,438,10265.54,9200.0
Brasil,Brasil,2022,Mulheres,Parda,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,23372,4972.16,3500.0
Brasil,Brasil,2022,Mulheres,Indígena,1.1.1 Membros superiores do poder executivo e legislativo,1.1.1,Membros superiores do poder executivo e legislativo,3,membros_superiores_do_poder_executivo_e_legislativo,208,3838.05,3000.0
Brasil,Brasil,2022,Total,Total,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,37439,7433.8,5000.0
Brasil,Brasil,2022,Total,Branca,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,18422,8136.53,5930.0
Brasil,Brasil,2022,Total,Preta,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,2677,7420.29,5000.0
Brasil,Brasil,2022,Total,Amarela,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,74,5843.99,3300.0
Brasil,Brasil,2022,Total,Parda,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,16095,6659.9,5000.0
Brasil,Brasil,2022,Total,Indígena,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,172,5480.68,5000.0
Brasil,Brasil,2022,Homens,Total,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,31260,7528.37,5001.0
Brasil,Brasil,2022,Homens,Branca,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,15273,8296.57,6000.0
Brasil,Brasil,2022,Homens,Preta,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,2272,7560.76,5000.0
Brasil,Brasil,2022,Homens,Amarela,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,65,6254.99,5000.0
Brasil,Brasil,2022,Homens,Parda,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,13514,6679.25,5000.0
Brasil,Brasil,2022,Homens,Indígena,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,136,5699.43,5000.0
Brasil,Brasil,2022,Mulheres,Total,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,6180,6955.45,5000.0
Brasil,Brasil,2022,Mulheres,Branca,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,3149,7360.32,5000.0
Brasil,Brasil,2022,Mulheres,Preta,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,405,6631.45,5000.0
Brasil,Brasil,2022,Mulheres,Amarela,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,9,3000.0,3000.0
Brasil,Brasil,2022,Mulheres,Parda,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,2581,6558.58,5000.0
Brasil,Brasil,2022,Mulheres,Indígena,1.1.1.1 Legisladores,1.1.1.1,Legisladores,4,legisladores,36,4643.56,4000.0
Brasil,Brasil,2022,Total,Total,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,122515,6727.91,4500.0
Brasil,Brasil,2022,Total,Branca,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,67569,7604.21,5000.0
Brasil,Brasil,2022,Total,Preta,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,9582,5523.4,3900.0
Brasil,Brasil,2022,Total,Amarela,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,674,11130.62,10000.0
Brasil,Brasil,2022,Total,Parda,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,44230,5608.72,3800.0
Brasil,Brasil,2022,Total,Indígena,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,451,4239.22,3000.0
Brasil,Brasil,2022,Homens,Total,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,67224,7328.52,5000.0
Brasil,Brasil,2022,Homens,Branca,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,36232,8344.77,5300.0
Brasil,Brasil,2022,Homens,Preta,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,5527,5987.73,4000.0
Brasil,Brasil,2022,Homens,Amarela,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,285,11143.82,10000.0
Brasil,Brasil,2022,Homens,Parda,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,24872,6137.01,4000.0
Brasil,Brasil,2022,Homens,Indígena,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,308,4538.13,3000.0
Brasil,Brasil,2022,Mulheres,Total,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,55291,5997.68,4200.0
Brasil,Brasil,2022,Mulheres,Branca,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,31338,6748.0,5000.0
Brasil,Brasil,2022,Mulheres,Preta,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,4055,4890.44,3600.0
Brasil,Brasil,2022,Mulheres,Amarela,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,389,11120.98,10000.0
Brasil,Brasil,2022,Mulheres,Parda,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,19358,4929.97,3500.0
Brasil,Brasil,2022,Mulheres,Indígena,1.1.1.2 Dirigentes superiores da administração pública,1.1.1.2,Dirigentes superiores da administração pública,4,dirigentes_superiores_da_administracao_publica,143,3594.64,2500.0
Brasil,Brasil,2022,Total,Total,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,18,2594.89,3000.0
Brasil,Brasil,2022,Total,Branca,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,,,
Brasil,Brasil,2022,Total,Preta,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,,,
Brasil,Brasil,2022,Total,Amarela,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,,,
Brasil,Brasil,2022,Total,Parda,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,,,
Brasil,Brasil,2022,Total,Indígena,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,18,2594.89,3000.0
Brasil,Brasil,2022,Homens,Total,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,17,2571.72,1700.0
Brasil,Brasil,2022,Homens,Branca,1.1.1.3 Chefes de pequenas populações,1.1.1.3,Chefes de pequenas populações,4,chefes_de_pequenas_populacoes,,,
